 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1565,         2.1676,        -1.0118,         1.1558,         1.8239,         0.6423,       136.9589,        64.5727,       161.4359,       294.4887,       283.6293,       452.4743,         0.5135,     85446.8906,     71421.9062
   1566,         0.3882,         0.6015,         0.9897,         1.4657,         0.4774,       138.0623,        64.5155,       161.2118,       294.7479,       283.6508,       452.5070,         0.5123,     85446.7031,     71421.9062
   1567,         0.1449,         0.6647,         0.8096,         1.4657,         0.3298,       139.1628,        64.4585,       160.9879,       295.0312,       283.6740,       452.5355,         0.4798,     85446.5156,     71421.9062
   1568,         0.8035,         0.0602,         0.8638,         1.4657,         0.3985,       140.2604,        64.4016,       160.7644,       295.3270,       283.6979,       452.5626,         0.4653,     85446.3281,     71421.9062
   1569,         0.5065,         0.4305,         0.9369,         1.4657,         0.4741,       141.3550,        64.3446,       160.5411,       295.6269,       283.7220,       452.5900,         0.4628,     85446.1406,     71421.9062
   1570,         0.9522,        -0.0800,         0.8722,         1.4657,         0.4071,       142.4469,        64.2878,       160.3182,       295.9271,       283.7460,       452.6179,         0.4652,     85445.9531,     71421.9062
   1571,         1.2238,        -0.2855,         0.9384,         1.4663,         0.4554,       143.5361,        64.2311,       160.0959,       296.2164,       283.7688,       452.6479,         0.4830,     85445.7656,     71421.9062
   1572,         0.0642,         0.9109,         0.9751,         1.4657,         0.4903,       144.6222,        64.1743,       159.8737,       296.5075,       283.7917,       452.6775,         0.4848,     85445.5781,     71421.9062
   1573,         0.2794,         0.6660,         0.9454,         1.4657,         0.4778,       145.7054,        64.1175,       159.6516,       296.8133,       283.8156,       452.7055,         0.4676,     85445.3906,     71421.9062
   1574,         1.6196,        -0.5505,         1.0691,         1.6545,         0.5820,       146.8801,        64.0797,       159.5053,       297.1066,       283.8382,       452.7366,         0.4872,     85445.2031,     71421.9062
   1575,         2.6634,        -1.2614,         1.4020,         2.1056,         0.8546,       148.2770,        64.0870,       159.5397,       297.3577,       283.8573,       452.7752,         0.5474,     85444.9375,     71421.9844
   1576,         1.3030,        -0.0662,         1.2368,         1.5837,         0.6281,       149.4096,        64.0423,       159.3653,       297.5689,       283.8730,       452.8191,         0.6087,     85444.5625,     71422.1719
   1577,         1.0523,         0.1322,         1.1845,         1.4657,         0.5572,       150.4802,        63.9857,       159.1441,       297.7720,       283.8877,       452.8638,         0.6273,     85444.1875,     71422.3594
   1578,         1.2979,        -0.1119,         1.1860,         1.4719,         0.5570,       151.5511,        63.9298,       158.9258,       297.9784,       283.9026,       452.9074,         0.6290,     85443.8125,     71422.5469
   1579,         1.6330,        -0.2433,         1.3897,         1.6331,         0.7179,       152.6998,        63.8901,       158.7725,       298.1547,       283.9144,       452.9568,         0.6719,     85443.4375,     71422.7344
   1580,         1.7186,        -0.2021,         1.5165,         1.7184,         0.7729,       153.8880,        63.8590,       158.6535,       298.2823,       283.9220,       453.0145,         0.7436,     85442.9922,     71422.9219
   1581,         2.0253,        -0.3222,         1.7030,         1.9025,         0.8949,       155.1651,        63.8463,       158.6081,       298.3745,       283.9265,       453.0771,         0.8081,     85442.4766,     71423.1094
   1582,         1.6845,         0.0108,         1.6953,         1.8717,         0.8873,       156.4234,        63.8305,       158.5504,       298.4778,       283.9315,       453.1365,         0.8080,     85441.9453,     71423.2969
   1583,         3.5542,        -1.4160,         2.1382,         2.5112,         1.2297,       157.9979,        63.8786,       158.7484,       298.5098,       283.9309,       453.2100,         0.9086,     85441.3828,     71423.4844
   1584,         3.3684,        -1.1545,         2.2139,         0.9813,         1.2280,       158.0724,        63.9202,       158.9203,       298.4778,       283.9254,       453.2923,         0.9860,     85440.7344,     71423.6719
   1585,         1.4802,         0.3032,         1.7834,         0.0330,         0.7798,       157.6730,        63.8671,       158.7130,       298.4481,       283.9203,       453.3700,         1.0036,     85440.0625,     71423.8594
   1586,         1.8248,         0.1536,         1.9784,         0.4233,         0.9902,       157.4696,        63.8529,       158.6618,       298.4360,       283.9164,       453.4439,         0.9882,     85439.4297,     71424.0469
   1587,         0.8886,         0.8840,         1.7726,         0.0000,         0.7868,       157.0553,        63.7965,       158.4414,       298.4215,       283.9121,       453.5171,         0.9858,     85438.8672,     71424.2344
   1588,         2.2352,        -0.1855,         2.0497,         0.5379,         1.0675,       156.9107,        63.7939,       158.4365,       298.3969,       283.9068,       453.5919,         0.9822,     85438.2266,     71424.4219
   1589,         1.7116,         0.1282,         1.8398,         0.0282,         0.8390,       156.5120,        63.7403,       158.2277,       298.3584,       283.9004,       453.6678,         1.0007,     85437.5547,     71424.6094
