 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1450,         0.0000,         0.8415,         0.8415,         0.0000,         0.3856,       159.0098,        95.5233,       179.4904,       243.9751,       253.2507,       447.2820,         0.4560,     81147.4141,     72779.2969
   1451,         0.0674,         0.8467,         0.9141,         0.0000,         0.4422,       158.5915,        95.4661,       179.2601,       244.3744,       253.2771,       447.2661,         0.4719,     81147.2266,     72779.2969
   1452,         0.1916,         0.7300,         0.9216,         0.0000,         0.4276,       158.1742,        95.4066,       179.0205,       244.7688,       253.3043,       447.2500,         0.4940,     81147.0391,     72779.2969
   1453,         0.1283,         0.7602,         0.8884,         0.0000,         0.3908,       157.7581,        95.3468,       178.7802,       245.1604,       253.3317,       447.2341,         0.4976,     81146.8516,     72779.2969
   1454,         0.0337,         0.7978,         0.8315,         0.0000,         0.3352,       157.3430,        95.2870,       178.5401,       245.5517,       253.3592,       447.2184,         0.4963,     81146.6641,     72779.2969
   1455,         0.0570,         0.6734,         0.7305,         0.0000,         0.2431,       156.9291,        95.2273,       178.3005,       245.9473,       253.3871,       447.2018,         0.4874,     81146.4766,     72779.2969
   1456,         0.0298,         0.6091,         0.6389,         0.0000,         0.1692,       156.5162,        95.1677,       178.0615,       246.3527,       253.4157,       447.1847,         0.4697,     81146.2891,     72779.2969
   1457,         0.0098,         0.5112,         0.5210,         0.0000,         0.0865,       156.1044,        95.1082,       177.8230,       246.7797,       253.4464,       447.1660,         0.4345,     81146.1016,     72779.2969
   1458,         0.0046,         0.4275,         0.4321,         0.0000,         0.0490,       155.6936,        95.0503,       177.5912,       247.2290,       253.4783,       447.1466,         0.3831,     81145.8281,     72779.2969
   1459,         0.0029,         0.3754,         0.3783,         0.0000,         0.0440,       155.2840,        94.9978,       177.3810,       247.6812,       253.5079,       447.1295,         0.3344,     81145.4844,     72779.2969
   1460,         0.0180,         0.3978,         0.4158,         0.0000,         0.1018,       154.8755,        94.9506,       177.1922,       248.1184,       253.5338,       447.1154,         0.3140,     81145.2188,     72779.2969
   1461,         0.0255,         0.4320,         0.4575,         0.0000,         0.1205,       154.4680,        94.9012,       176.9945,       248.5493,       253.5603,       447.1021,         0.3370,     81144.8594,     72779.2969
   1462,         0.0000,         0.4054,         0.4054,         0.0000,         0.0847,       154.0616,        94.8533,       176.8031,       248.9816,       253.5863,       447.0894,         0.3207,     81144.5859,     72779.2969
   1463,         0.0084,         0.4563,         0.4647,         0.0000,         0.1005,       153.6562,        94.8008,       176.5934,       249.4056,       253.6141,       447.0768,         0.3642,     81144.2109,     72779.2969
   1464,         0.0012,         0.2926,         0.2938,         0.0000,         0.0153,       153.2519,        94.7535,       176.4049,       249.8592,       253.6418,       447.0634,         0.2785,     81144.0000,     72779.2969
   1465,         0.0027,         0.2098,         0.2125,         0.0000,         0.0134,       152.8487,        94.7194,       176.2688,       250.3000,       253.6620,       447.0535,         0.1990,     81143.8125,     72779.2969
   1466,         0.0053,         0.1740,         0.1793,         0.0000,         0.0150,       152.4466,        94.6924,       176.1613,       250.7276,       253.6777,       447.0466,         0.1644,     81143.6250,     72779.2969
   1467,         0.0022,         0.1541,         0.1563,         0.0000,         0.0073,       152.0455,        94.6668,       176.0591,       251.1577,       253.6933,       447.0398,         0.1490,     81143.4375,     72779.2969
   1468,         0.0039,         0.1622,         0.1661,         0.0000,         0.0071,       151.6455,        94.6412,       175.9569,       251.5796,       253.7081,       447.0340,         0.1590,     81143.2500,     72779.2969
   1469,         0.0054,         0.1500,         0.1553,         0.0000,         0.0019,       151.2465,        94.6155,       175.8548,       252.0038,       253.7230,       447.0281,         0.1535,     81143.0625,     72779.2969
   1470,         0.0116,         0.1369,         0.1485,         0.0000,         0.0000,       150.8485,        94.5899,       175.7526,       252.4295,       253.7381,       447.0220,         0.1485,     81142.8750,     72779.2969
   1471,         0.0061,         0.1437,         0.1498,         0.0000,         0.0000,       150.4516,        94.5643,       175.6508,       252.8528,       253.7531,       447.0161,         0.1498,     81142.6875,     72779.2969
   1472,         0.0039,         0.1405,         0.1444,         0.0000,         0.0000,       150.0558,        94.5386,       175.5490,       253.2787,       253.7684,       447.0103,         0.1444,     81142.5000,     72779.2969
   1473,         0.0130,         0.1335,         0.1465,         0.0000,         0.0000,       149.6610,        94.5130,       175.4472,       253.7019,       253.7836,       447.0051,         0.1465,     81142.3125,     72779.2969
   1474,         0.0185,         0.1472,         0.1657,         0.0000,         0.0000,       149.2673,        94.4874,       175.3454,       254.1104,       253.7977,       447.0011,         0.1657,     81142.1250,     72779.2969
   1475,         0.1026,         0.0765,         0.1791,         0.0000,         0.0000,       148.8745,        94.4611,       175.2412,       254.5118,       253.8116,       446.9979,         0.1791,     81141.9375,     72779.2969
